#iv) Total RRC: sum of state-specific RRC + rest contributions:
#--------------------------------------------------------------
#o Use the last column for the total RRC
#o Temparature is in K
#------------------------------
#TOTAL RECOMBINATION RATE COEFFICIENTS (RRC):
#  81 =temperatures
#log(T)   RRC(low n)    RRC(DR)   HRC(n=11,inf)  RRC(high n)  RRC(total)
  7.7     1.0559E-14   3.3845E-15   5.6069E-19   3.3851E-15   1.3944E-14
  7.8     8.1044E-15   2.3975E-15   4.0003E-19   2.3979E-15   1.0502E-14
  7.9     6.1907E-15   1.6981E-15   2.8485E-19   1.6984E-15   7.8891E-15
  8.0     4.7096E-15   1.2026E-15   2.0299E-19   1.2028E-15   5.9124E-15
  8.1     3.5700E-15   8.5163E-16   1.4467E-19   8.5177E-16   4.4218E-15
  8.2     2.6979E-15   6.0305E-16   1.0234E-19   6.0315E-16   3.3010E-15
  8.3     2.0336E-15   4.2700E-16   7.3354E-20   4.2708E-16   2.4607E-15
  8.4     1.5296E-15   3.0234E-16   5.1908E-20   3.0239E-16   1.8320E-15
  8.5     1.1487E-15   2.1407E-16   3.6887E-20   2.1410E-16   1.3628E-15
  8.6     8.6155E-16   1.5156E-16   2.6219E-20   1.5159E-16   1.0131E-15
  8.7     6.4574E-16   1.0730E-16   1.8616E-20   1.0732E-16   7.5306E-16
  8.8     4.8390E-16   7.5971E-17   1.3223E-20   7.5984E-17   5.5988E-16
  8.9     3.6276E-16   5.3786E-17   9.3783E-21   5.3795E-17   4.1655E-16
  9.0     2.7221E-16   3.8079E-17   6.6584E-21   3.8085E-17   3.1030E-16
