   j      e(j)         levid         stwt


   93  -0.1008E-01  50210701.1020     25.0
   94  -0.1004E-01  30210701.1020     15.0
   95  -0.1000E-01  50300701.1030     35.0
   96  -0.1000E-01  30300701.1030     21.0
   97  -0.1000E-01  50410701.1040     45.0
   98  -0.1000E-01  30410701.1040     27.0
   99  -0.1000E-01  50500701.1050     55.0
  100  -0.1000E-01  30500701.1050     33.0
  101  -0.1000E-01  50610701.1060     65.0
  102  -0.1000E-01  50700701.1070     75.0
  103  -0.1000E-01  30610701.1060     39.0
  104  -0.1000E-01  30700701.1070     45.0
  105   0.5336E-01  30110703.0300      9.0
  106   0.5388E-01  30200702.0310     15.0
  107   0.1325E+00  30110702.0320      9.0
  108   0.1345E+00  30310702.0420     21.0
  109   0.1486E+00  30200702.0410     15.0
  110   0.1633E+00  30110800.0000      9.0
  111   0.1687E+00  30000703.0310      3.0
  112   0.1719E+00  30200703.0310     15.0
  113   0.1819E+00  30400702.0430     27.0
  114   0.1820E+00  30200702.0430     15.0
  115   0.1822E+00  30310702.0520     21.0
  116   0.1860E+00  30110702.0420      9.0
  117   0.1889E+00  30200702.0610     15.0
  118   0.2044E+00  30400702.0530     27.0
  119   0.2044E+00  30510702.0540     33.0
  120   0.2044E+00  30310702.0540     21.0
  121   0.2044E+00  30200702.0530     15.0
  122   0.2045E+00  30310702.0620     21.0
  123   0.2058E+00  30110702.0520      9.0
  124   0.2080E+00  30200703.0610     15.0
  125   0.2166E+00  30400702.0630     27.0
  126   0.2166E+00  30310702.0640     21.0
  127   0.2166E+00  30510702.0640     33.0
  128   0.2166E+00  30400702.0650     27.0
  129   0.2166E+00  30600702.0650     39.0
  130   0.2166E+00  30200702.0630     15.0
  131   0.2167E+00  30310702.0720     21.0
  132   0.2173E+00  30110702.0620      9.0
  133   0.2187E+00  30200702.0710     15.0
  134   0.2240E+00  30400702.0730     27.0
  135   0.2240E+00  30310702.0740     21.0
  136   0.2240E+00  30510702.0740     33.0
  137   0.2240E+00  30510702.0760     33.0
  138   0.2240E+00  30200702.0730     15.0
  139   0.2240E+00  30400702.0750     27.0
  140   0.2240E+00  30600702.0750     39.0
  141   0.2240E+00  30710702.0760     45.0
  142   0.2240E+00  30310702.0820     21.0
  143   0.2244E+00  30110702.0720      9.0
  144   0.2253E+00  30200702.0810     15.0
  145   0.2288E+00  30400702.0830     27.0
  146   0.2288E+00  30310702.0840     21.0
  147   0.2288E+00  30510702.0840     33.0
  148   0.2288E+00  30510702.0860     33.0
  149   0.2288E+00  30200702.0830     15.0
  150   0.2288E+00  30400702.0850     27.0
  151   0.2288E+00  30600702.0850     39.0
  152   0.2288E+00  30710702.0860     45.0
  153   0.2288E+00  30800702.0870     51.0
  154   0.2288E+00  30310702.0920     21.0
  155   0.2290E+00  30110702.0820      9.0
  156   0.2297E+00  30200702.0910     15.0
  157   0.2320E+00  30400702.0930     27.0
  158   0.2320E+00  30310702.0940     21.0
  159   0.2320E+00  30510702.0940     33.0
  160   0.2320E+00  30510702.0960     33.0
  161   0.2320E+00  30200702.0930     15.0
  162   0.2320E+00  30400702.0950     27.0
  163   0.2320E+00  30600702.0950     39.0
  164   0.2320E+00  30710702.0960     45.0
  165   0.2320E+00  30800702.0970     51.0
  166   0.2320E+00  30910702.0980     57.0
  167   0.2321E+00  30310702.1020     21.0
  168   0.2322E+00  30110702.0920      9.0
  169   0.2327E+00  30200702.1010     15.0
  170   0.2344E+00  30310702.1040     21.0
  171   0.2344E+00  30200702.1030     15.0
  172   0.2344E+00  30710702.0980     45.0
  173   0.2344E+00  30800702.1090     51.0
  174   0.2721E+00  30000703.0410      3.0
  175   0.3126E+00  30000703.0510      3.0
  176   0.3321E+00  30000703.0610      3.0
  177   0.3429E+00  30000703.0710      3.0
  178   0.3496E+00  30000703.0810      3.0
  179   0.3540E+00  30000703.0910      3.0
  180   0.3570E+00  30000703.1010      3.0
  181   0.8641E+00  50110704.0310     15.0
  182   0.9776E+00  50200704.0320     25.0
  183   0.9926E+00  50110704.0410     15.0
  184   0.1028E+01  50200704.0420     25.0
  185   0.1030E+01  50310704.0430     35.0
  186   0.1035E+01  50110704.0510     15.0
  187   0.1052E+01  50200704.0520     25.0
  188   0.1053E+01  50310704.0530     35.0
  189   0.1053E+01  50400704.0540     45.0
  190   0.1056E+01  50110704.0610     15.0
  191   0.1065E+01  50200704.0620     25.0
  192   0.1065E+01  50310704.0630     35.0
  193   0.1065E+01  50400704.0640     45.0
  194   0.1065E+01  50510704.0650     55.0
  195   0.1067E+01  50110704.0710     15.0
  196   0.1072E+01  50200704.0720     25.0
  197   0.1072E+01  50310704.0730     35.0
  198   0.1072E+01  50400704.0740     45.0
  199   0.1072E+01  50510704.0750     55.0
