   j      e(j)         levid         stwt


   88  -0.2778E-01  10500501.0650     11.0
   89  -0.2778E-01  30500501.0650     33.0
   90  -0.2778E-01  10600501.0650     13.0
   91  -0.2778E-01  30600501.0650     39.0
   92  -0.2778E-01  30510501.0640     33.0
   93  -0.2778E-01  10510501.0640     11.0
   94  -0.2778E-01  30400501.0650     27.0
   95  -0.2778E-01  10400501.0650      9.0
   96  -0.2777E-01  30310501.0640     21.0
   97  -0.2777E-01  10310501.0640      7.0
   98  -0.2775E-01  30200501.0630     15.0
   99  -0.2775E-01  10200501.0630      5.0
  100  -0.2574E-01  10100501.0710      3.0
  101  -0.2552E-01  30200501.0710     15.0
  102  -0.2525E-01  30000501.0710      3.0
  103  -0.2497E-01  30100501.0710      9.0
  104  -0.2438E-01  10200501.0710      5.0
  105  -0.2365E-01  10000501.0710      1.0
  106  -0.2166E-01  10210501.0620      5.0
  107  -0.2101E-01  30310501.0720     21.0
  108  -0.2087E-01  30110501.0800      9.0
  109  -0.2079E-01  30210501.0720     15.0
  110  -0.2074E-01  10110501.0700      3.0
  111  -0.2061E-01  10310501.0720      7.0
  112  -0.2049E-01  10300501.0730      7.0
  113  -0.2049E-01  30300501.0730     21.0
  114  -0.2042E-01  30110501.0720      9.0
  115  -0.2042E-01  30400501.0730     27.0
  116  -0.2042E-01  10400501.0730      9.0
  117  -0.2041E-01  10410501.0740      9.0
  118  -0.2041E-01  30410501.0740     27.0
  119  -0.2041E-01  10110501.0720      3.0
  120  -0.2041E-01  10500501.0750     11.0
  121  -0.2041E-01  30500501.0750     33.0
  122  -0.2041E-01  10610501.0760     13.0
  123  -0.2041E-01  10710501.0760     15.0
  124  -0.2041E-01  30610501.0760     39.0
  125  -0.2041E-01  30710501.0760     45.0
  126  -0.2041E-01  10510501.0740     11.0
  127  -0.2041E-01  10600501.0750     13.0
  128  -0.2041E-01  30510501.0740     33.0
  129  -0.2041E-01  30600501.0750     39.0
  130  -0.2041E-01  30400501.0750     27.0
  131  -0.2041E-01  10400501.0750      9.0
  132  -0.2041E-01  30310501.0740     21.0
  133  -0.2040E-01  10310501.0740      7.0
  134  -0.2039E-01  30200501.0730     15.0
  135  -0.2039E-01  10200501.0730      5.0
  136  -0.1909E-01  10100501.0810      3.0
  137  -0.1895E-01  30200501.0810     15.0
  138  -0.1878E-01  30000501.0810      3.0
  139  -0.1861E-01  30100501.0810      9.0
  140  -0.1823E-01  10200501.0810      5.0
  141  -0.1776E-01  10000501.0810      1.0
  142  -0.1648E-01  10210501.0720      5.0
  143  -0.1603E-01  30310501.0820     21.0
  144  -0.1593E-01  30110501.0900      9.0
  145  -0.1588E-01  30210501.0820     15.0
  146  -0.1584E-01  10110501.0800      3.0
  147  -0.1576E-01  10310501.0820      7.0
  148  -0.1568E-01  10300501.0830      7.0
  149  -0.1568E-01  30300501.0830     21.0
  150  -0.1564E-01  30110501.0820      9.0
  151  -0.1563E-01  30400501.0830     27.0
  152  -0.1563E-01  10400501.0830      9.0
  153  -0.1563E-01  10410501.0840      9.0
  154  -0.1563E-01  30410501.0840     27.0
  155  -0.1563E-01  10110501.0820      3.0
  156  -0.1563E-01  10500501.0850     11.0
  157  -0.1562E-01  10610501.0860     13.0
  158  -0.1562E-01  30500501.0850     33.0
  159  -0.1562E-01  10710501.0860     15.0
  160  -0.1562E-01  30610501.0860     39.0
  161  -0.1562E-01  10510501.0840     11.0
  162  -0.1562E-01  30710501.0860     45.0
  163  -0.1562E-01  30510501.0840     33.0
  164  -0.1562E-01  10600501.0850     13.0
  165  -0.1562E-01  10700501.0870     15.0
  166  -0.1562E-01  10800501.0870     17.0
  167  -0.1562E-01  30600501.0850     39.0
  168  -0.1562E-01  30700501.0870     45.0
  169  -0.1562E-01  30400501.0850     27.0
  170  -0.1562E-01  30800501.0870     51.0
  171  -0.1562E-01  10400501.0850      9.0
  172  -0.1562E-01  30310501.0840     21.0
  173  -0.1562E-01  10310501.0840      7.0
  174  -0.1561E-01  30200501.0830     15.0
  175  -0.1561E-01  10200501.0830      5.0
  176  -0.1473E-01  10100501.0910      3.0
  177  -0.1463E-01  30200501.0910     15.0
  178  -0.1452E-01  30000501.0910      3.0
  179  -0.1440E-01  30100501.0910      9.0
  180  -0.1414E-01  10200501.0910      5.0
  181  -0.1383E-01  10000501.0910      1.0
  182  -0.1296E-01  10210501.0820      5.0
  183  -0.1263E-01  30310501.0920     21.0
  184  -0.1256E-01  30110501.1000      9.0
  185  -0.1253E-01  30210501.0920     15.0
  186  -0.1250E-01  10110501.0900      3.0
  187  -0.1244E-01  10310501.0920      7.0
  188  -0.1239E-01  10300501.0930      7.0
  189  -0.1238E-01  30300501.0930     21.0
  190  -0.1236E-01  30110501.0920      9.0
  191  -0.1235E-01  30400501.0930     27.0
  192  -0.1235E-01  10400501.0930      9.0
  193  -0.1235E-01  10410501.0940      9.0
  194  -0.1235E-01  30410501.0940     27.0
  195  -0.1235E-01  10110501.0920      3.0
  196  -0.1235E-01  10500501.0950     11.0
  197  -0.1235E-01  10610501.0960     13.0
  198  -0.1235E-01  30500501.0950     33.0
  199  -0.1235E-01  10810501.0980     17.0
  200  -0.1235E-01  10910501.0980     19.0
  201  -0.1235E-01  10510501.0940     11.0
  202  -0.1235E-01  30610501.0960     39.0
  203  -0.1235E-01  30510501.0940     33.0
  204  -0.1235E-01  30810501.0980     51.0
  205  -0.1235E-01  30910501.0980     57.0
  206  -0.1235E-01  10600501.0950     13.0
  207  -0.1235E-01  10700501.0970     15.0
  208  -0.1234E-01  30400501.0950     27.0
  209  -0.1234E-01  10800501.0970     17.0
  210  -0.1234E-01  10400501.0950      9.0
  211  -0.1234E-01  30600501.0950     39.0
  212  -0.1234E-01  30700501.0970     45.0
  213  -0.1234E-01  30800501.0970     51.0
  214  -0.1234E-01  30310501.0940     21.0
  215  -0.1234E-01  10310501.0940      7.0
  216  -0.1234E-01  30200501.0930     15.0
  217  -0.1234E-01  10200501.0930      5.0
  218  -0.1171E-01  10100501.1010      3.0
  219  -0.1164E-01  30200501.1010     15.0
  220  -0.1156E-01  30000501.1010      3.0
  221  -0.1148E-01  30100501.1010      9.0
  222  -0.1129E-01  10200501.1010      5.0
  223  -0.1107E-01  10000501.1010      1.0
  224  -0.1045E-01  10210501.0920      5.0
  225  -0.1021E-01  30310501.1020     21.0
  226  -0.1015E-01  30110501.1100      9.0
  227  -0.1013E-01  30210501.1020     15.0
  228  -0.1011E-01  10110501.1000      3.0
  229  -0.1007E-01  10310501.1020      7.0
  230  -0.1003E-01  10300501.1030      7.0
  231  -0.1003E-01  30300501.1030     21.0
  232  -0.1001E-01  30110501.1020      9.0
  233  -0.1000E-01  30400501.1030     27.0
  234  -0.1000E-01  10400501.1030      9.0
  235  -0.1000E-01  10410501.1040      9.0
  236  -0.1000E-01  30410501.1040     27.0
