#iv) Total RRC: sum of state-specific RRC + rest contributions:
#--------------------------------------------------------------
#o Use the last column for the total RRC
#o Temparature is in K
#------------------------------
#TOTAL RECOMBINATION RATE COEFFICIENTS (RRC):
#81 =temperatures
#
#log(T)   RRC(low n)    RRC(DR)   HRC(n=11,inf)  RRC(high n)  RRC(total)
#
  7.7     5.8581E-16   2.0791E-15   5.6069E-19   2.0796E-15   2.6654E-15
  7.8     4.4622E-16   1.4731E-15   4.0003E-19   1.4735E-15   1.9197E-15
  7.9     3.4148E-16   1.0435E-15   2.8485E-19   1.0438E-15   1.3853E-15
  8.0     2.6271E-16   7.3912E-16   2.0299E-19   7.3933E-16   1.0020E-15
  8.1     2.0341E-16   5.2347E-16   1.4467E-19   5.2362E-16   7.2703E-16
  8.2     1.5865E-16   3.7071E-16   1.0234E-19   3.7081E-16   5.2946E-16
  8.3     1.2471E-16   2.6251E-16   7.3354E-20   2.6258E-16   3.8729E-16
  8.4     9.8906E-17   1.8588E-16   5.1908E-20   1.8593E-16   2.8484E-16
  8.5     7.9133E-17   1.3161E-16   3.6887E-20   1.3165E-16   2.1078E-16
  8.6     6.3924E-17   9.3187E-17   2.6219E-20   9.3213E-17   1.5714E-16
  8.7     5.2143E-17   6.5978E-17   1.8616E-20   6.5997E-17   1.1814E-16
  8.8     4.2931E-17   4.6713E-17   1.3223E-20   4.6726E-17   8.9657E-17
  8.9     3.5682E-17   3.3072E-17   9.3783E-21   3.3081E-17   6.8763E-17
  9.0     2.9913E-17   2.3414E-17   6.6584E-21   2.3421E-17   5.3334E-17
